timeid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,cold,539,270,647,105,407
1,neighborhood,hot,132,303,469,727,725
1,state,cold,101,102,103,104,105
1,state,hot,727,726,725,724,723
2,neighborhood,cold,322,548,120,568,709
2,neighborhood,hot,244,132,215,378,103
2,state,cold,108,275,420,533,673
2,state,hot,102,334,483,215,103
3,neighborhood,cold,381,233,646,481,336
3,neighborhood,hot,186,103,658,244,132
3,state,cold,616,333,434,544,650
3,state,hot,334,215,103,483,102
4,neighborhood,cold,456,194,481,596,358
4,neighborhood,hot,173,103,215,658,186
4,state,cold,650,712,333,709,349
4,state,hot,297,215,103,186,173
5,neighborhood,cold,691,646,456,692,101
5,neighborhood,hot,132,173,186,658,448
5,state,cold,691,709,262,544,712
5,state,hot,448,536,215,173,186
6,neighborhood,cold,381,440,692,616,349
6,neighborhood,hot,721,173,132,658,346
6,state,cold,422,432,213,401,515
6,state,hot,448,536,173,215,334
7,neighborhood,cold,381,245,385,456,545
7,neighborhood,hot,721,132,173,658,346
7,state,cold,422,213,432,333,515
7,state,hot,448,173,536,334,562
