timeid,method,spot,districtid
1,neighborhood,cold,101
1,neighborhood,hot,102
1,neighborhood,hot,103
1,state,hot,103
1,state,hot,105
1,neighborhood,hot,113
1,state,hot,113
1,neighborhood,cold,116
1,neighborhood,hot,119
1,neighborhood,hot,122
1,neighborhood,cold,125
1,neighborhood,cold,128
1,neighborhood,cold,131
1,neighborhood,hot,132
1,neighborhood,hot,136
1,neighborhood,cold,139
1,neighborhood,cold,149
1,neighborhood,hot,161
1,neighborhood,hot,162
1,neighborhood,hot,168
1,neighborhood,hot,173
1,state,hot,173
1,neighborhood,cold,175
1,neighborhood,hot,177
1,neighborhood,cold,183
1,neighborhood,hot,186
1,state,hot,186
1,neighborhood,hot,191
1,neighborhood,cold,196
1,neighborhood,hot,210
1,neighborhood,cold,213
1,neighborhood,hot,215
1,state,hot,215
1,neighborhood,cold,220
1,neighborhood,hot,223
1,neighborhood,hot,226
1,neighborhood,hot,228
1,state,hot,229
1,neighborhood,hot,231
1,neighborhood,hot,234
1,neighborhood,cold,238
1,neighborhood,hot,239
1,neighborhood,hot,243
1,state,hot,243
1,neighborhood,hot,244
1,neighborhood,cold,245
1,neighborhood,cold,254
1,neighborhood,hot,255
1,state,hot,259
1,state,cold,262
1,state,hot,269
1,neighborhood,hot,272
1,state,hot,272
1,neighborhood,hot,274
1,state,hot,274
1,neighborhood,hot,278
1,state,hot,279
1,state,hot,294
1,state,hot,297
1,neighborhood,hot,298
1,state,hot,299
1,neighborhood,cold,308
1,neighborhood,hot,309
1,state,hot,309
1,state,hot,314
1,neighborhood,hot,315
1,state,hot,315
1,neighborhood,cold,318
1,neighborhood,cold,319
1,neighborhood,cold,320
1,neighborhood,hot,322
1,state,hot,322
1,neighborhood,cold,324
1,neighborhood,hot,328
1,neighborhood,cold,333
1,state,cold,333
1,neighborhood,hot,334
1,state,hot,334
1,neighborhood,hot,335
1,state,hot,335
1,neighborhood,hot,337
1,state,hot,337
1,neighborhood,cold,338
1,neighborhood,hot,340
1,state,hot,340
1,neighborhood,hot,342
1,neighborhood,hot,346
1,state,hot,346
1,neighborhood,cold,348
1,neighborhood,hot,357
1,neighborhood,cold,358
1,neighborhood,cold,359
1,neighborhood,cold,360
1,neighborhood,cold,361
1,neighborhood,hot,362
1,state,hot,362
1,neighborhood,cold,365
1,neighborhood,cold,369
1,neighborhood,hot,378
1,state,hot,378
1,neighborhood,cold,381
1,neighborhood,cold,385
1,neighborhood,hot,398
1,state,hot,398
1,state,cold,401
1,neighborhood,cold,402
1,neighborhood,cold,403
1,neighborhood,cold,405
1,state,hot,407
1,neighborhood,hot,411
1,state,hot,411
1,neighborhood,cold,413
1,neighborhood,hot,418
1,state,hot,418
1,state,cold,422
1,neighborhood,cold,432
1,state,cold,432
1,neighborhood,hot,437
1,neighborhood,hot,439
1,neighborhood,cold,440
1,neighborhood,hot,448
1,state,hot,448
1,neighborhood,hot,449
1,state,hot,449
1,neighborhood,cold,451
1,neighborhood,hot,452
1,neighborhood,hot,453
1,neighborhood,cold,456
1,neighborhood,hot,461
1,state,hot,461
1,neighborhood,hot,462
1,neighborhood,cold,470
1,neighborhood,cold,472
1,neighborhood,hot,480
1,neighborhood,hot,483
1,state,hot,483
1,neighborhood,hot,488
1,neighborhood,hot,489
1,neighborhood,hot,494
1,neighborhood,hot,511
1,state,hot,511
1,neighborhood,cold,515
1,neighborhood,cold,523
1,neighborhood,hot,526
1,neighborhood,cold,527
1,state,hot,528
1,neighborhood,hot,530
1,neighborhood,cold,532
1,neighborhood,hot,535
1,state,hot,535
1,neighborhood,hot,536
1,state,hot,536
1,neighborhood,cold,538
1,neighborhood,cold,541
1,neighborhood,cold,543
1,neighborhood,cold,545
1,neighborhood,hot,547
1,state,hot,547
1,state,hot,548
1,neighborhood,cold,551
1,neighborhood,hot,552
1,state,hot,552
1,neighborhood,cold,555
1,neighborhood,hot,562
1,state,hot,562
1,neighborhood,hot,565
1,neighborhood,hot,566
1,neighborhood,cold,568
1,neighborhood,hot,574
1,state,hot,574
1,neighborhood,hot,583
1,neighborhood,cold,584
1,neighborhood,cold,588
1,neighborhood,hot,589
1,neighborhood,cold,592
1,neighborhood,hot,594
1,neighborhood,hot,610
1,neighborhood,cold,614
1,neighborhood,cold,616
1,neighborhood,cold,618
1,neighborhood,cold,622
1,neighborhood,cold,623
1,neighborhood,cold,626
1,neighborhood,cold,633
1,neighborhood,cold,638
1,neighborhood,cold,639
1,state,hot,640
1,neighborhood,cold,646
1,neighborhood,hot,650
1,neighborhood,hot,651
1,state,hot,651
1,neighborhood,hot,655
1,neighborhood,hot,658
1,state,hot,658
1,neighborhood,cold,662
1,neighborhood,hot,665
1,state,hot,666
1,neighborhood,hot,670
1,state,hot,670
1,state,hot,684
1,neighborhood,cold,691
1,neighborhood,cold,692
1,neighborhood,cold,696
1,neighborhood,cold,697
1,neighborhood,hot,699
1,neighborhood,hot,702
1,state,hot,702
1,neighborhood,cold,706
1,state,cold,709
1,neighborhood,cold,711
1,state,cold,712
1,neighborhood,hot,719
1,neighborhood,hot,721
1,state,hot,721
1,neighborhood,cold,723
